seqID,No.,pedon_ID,location_name,horizon,group_veg,group_moist,soil_temp,latitude,longitude,elevation_m,MAT_C,MAP_mm,aridity,region,soil_order,dominant_vegetation_class,biome,soil_moisture_regime,soil_temperature_regime,state,soil_series_name,series_extent_map_acres,common_vegetation,soil_family,LCMS_no,DNA.extract,DNA.conc,DNA.volume,total.DNA.ug.per.g,project,data
B050,37,51,Finger Lakes,a,A,L,W,42.49991,-76.78338,547,7.08,952,0.728,northeast,inceptisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,new york,erie,"195,885","sugar maple, white ash, northern red oak, white pine, and hemlock","Fine-loamy, mixed, active, mesic Aeric Fragiaquepts",37,IS_2,106.5,100,42.6,national soils,B050
B051,38,52,Waistfield,a,C,M,X,44.18097,-72.81144,260,5.93,1072,0.878,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,frigid,vermont,berkshire,"696,634","paper birch, eastern white pine, white ash, red pine, balsam fir, white spruce, sugar maple, yellow birch, and red spruce","Coarse-loamy, isotic, frigid Typic Haplorthods",38,IS_2,83.7,100,33.48,national soils,B051
B052,39,53,White Mountains,a,C,L,X,44.33556,-71.45993,493,4.59,1101,0.954,northeast,inceptisol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,new hampshire,pillsbury,"282,829","red maple, sugar maple, eastern white pine, yellow birch, red spruce, balsam fir, and northern red oak","Coarse-loamy, mixed, superactive, acid, frigid Humic Endoaquepts",39,IS_2,76.7,100,30.68,national soils,B052
B053,40,54,Bangor,a,C,L,X,44.96711,-68.5414,51,6.08,1067,0.828,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,maine,peru,"1,676,254","red maple, elm, gray birch, white ash, balsam fir, red and white spruce, tamarack, and some eastern white pine","Coarse-loamy, isotic, frigid Aquic Haplorthods",40,IS_2,72.7,100,29.08,national soils,B053
B054,41,55,Aroostook,a,C,L,X,46.60899,-68.00531,193,3.84,924,0.803,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,maine,plaisted,"642,598","sugar maple, yellow birch, paper birch, eastern white pine, red pine, white spruce, red spruce and balsam fir","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods",41,IS_2,88.2,100,35.28,national soils,B054
B056,42,57,Halifax,a,C,M,Y,44.69163,-63.69352,57,6.56,1448,1.281,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,cryic,nova scotia,,,,,42,IS_2,80.5,100,32.2,national soils,B056
B058,43,59,Portobello Creek,a,A,M,Y,45.90001,-66.25795,12,5.64,1115,0.978,northeast,vertisol,deciduous hardwood forest,temperate deciduous forest,udic,cryic,new brunswick,,,,,43,IS_2,114.7,100,45.88,national soils,B058
B061,44,62,Vermontville,a,C,M,Y,44.50437,-74.02173,528,4.34,1042,0.93,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,cryic,new york,monadnock,"937,810","red oak, eastern white pine, paper birch, American beech, eastern hemlock, and red pine","Coarse-loamy over sandy or sandy-skeletal, isotic over mixed, frigid Typic Haplorthods",44,IS_2,85.2,100,34.08,national soils,B061
B062,45,63,Ohio,a,C,M,Y,43.36009,-74.96658,403,5.73,1258,1.058,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,cryic,new york,adams,"815,798","maple, beech, spruce, and pine","Sandy, isotic, frigid Typic Haplorthods",45,IS_2,97.4,100,38.96,national soils,B062
B063,46,64,Moscow Mountain,a,B,O,X,46.79864,-116.90064,1021.3,7.16,700,0.466,mountain west,alfisol,coniferous forest,temperate grassland,xeric,frigid,idaho,kruse,"48,198","grand fir, Douglas-fir, western white pine, ponderosa pine, western larch, and lodgepole pine, with an understory of myrtle pachystima, Columbia brome, American trailplant, baldhip rose, starry false-Solomon's-seal, sweetscented bedstraw, pine reedgrass, common snowberry, elk sedge, mallow ninebark, creambush oceanspray, and white spirea","Fine-loamy, isotic, frigid Vitrandic Haploxeralfs",46,IS_2,97.9,100,39.16,national soils,B063
B064,47,65,Brundage,a,B,O,X,44.95792,-116.16967,1525.7,4.56,618,0.409,mountain west,inceptisol,coniferous forest,temperate coniferous forest,xeric,frigid,idaho,quartzburg,"48,139","Douglas-fir, ponderosa pine, white spirea and mallow ninebark","Sandy-skeletal, mixed, frigid Typic Xerorthents",47,IS_2,88.9,100,35.56,national soils,B064
B065,48,66,Payette,a,D,O,W,43.83892,-116.24185,1286.4,8.44,516,0.261,mountain west,vertisol,shrubs,temperate coniferous forest,xeric,mesic,idaho,doubledia,"2,217","xeric big sagebrush, antelope bitterbrush, biscuitroot, Idaho fescue and bluebunch wheatgrass","Fine, smectitic, mesic Chromic Haploxererts",48,LL_2,22.3,100,8.92,national soils,B065
B066,49,67,Wallowa National Forest,a,B,M,X,45.6937,-117.27432,1489.8,4.96,496,0.34,mountain west,andisol,coniferous forest,temperate coniferous forest,udic,frigid,oregon,syrupcreek,"217,188","grand fir, western larch, lodgepole pine, twinflower, princes pine, pinegrass, big huckleberry, and round-leaved violet","Ashy over loamy-skeletal, amorphic over isotic, frigid Alfic Udivitrands",49,LL_2,114.6,100,45.84,national soils,B066
B067,50,68,Ribdon,a,F,L,Z,68.87527,-148.85725,435,-9.57,215,0.348,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,50,LL_2,100.4,100,40.16,national soils,B067
B068,51,69,Sagavanirktok,a,F,L,Z,68.80778,-148.8183,449,-9.32,217,0.343,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,51,LL_2,91.2,100,36.48,national soils,B068
B069,52,70,Flat,a,F,L,Z,68.72625,-148.92618,609,-8.37,231,0.333,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,52,LL_2,79.1,100,31.64,national soils,B069
B070,53,71,Slope Mountain,a,F,L,Z,68.6881,-149.08034,771,-8.77,240,0.371,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,53,LL_2,100.8,100,40.32,national soils,B070
B071,54,72,Oksrukuyik Creek,a,F,L,Z,68.65769,-149.27446,846,-9.2,238,0.381,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,54,LL_2,24.5,100,9.8,national soils,B071
B072,55,73,Kuparuk River,a,F,L,Z,68.64657,-149.40942,735,-9.17,237,0.385,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,55,LL_2,88.3,100,35.32,national soils,B072
B073,56,2,Whitlam Woods,c,A,L,W,41.6311,-81.19026,332,8.77,1092,0.783,midwest,alfisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,ohio,ellsworth,"204,577",deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",56,LL_2,1.9,100,0.76,national soils,B073
B074,57,3,Punderson Park,c,A,L,W,41.46,-81.20551,353,8.88,1081,0.764,midwest,alfisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,ohio,ellsworth,"204,577",deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",57,LL_2,10.4,100,4.16,national soils,B074
B077,58,6,Pecatonica,c,E,L,W,42.31607,-89.3617,228,8.38,883,0.598,midwest,mollisol,grasses,temperate grassland,aquic,mesic,illinois,lawson,"93,531",grasses and trees,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",58,LL_2,3.9,100,1.56,national soils,B077
B079,59,8,Fox Coulee,c,A,L,W,44.46521,-92.02736,211,7.24,805,0.574,midwest,entisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,wisconsin,algansee,"103,589","red maple, swamp white oak, quaking aspen, and white ash","Mixed, mesic Aquic Udipsamments",59,LL_2,10.4,100,4.16,national soils,B079
B082,60,12,Cottonwood,c,E,N,W,43.98026,-101.89979,1087,8.44,433,0.216,great plains,inceptisol,grasses,temperate grassland,ustic,mesic,south dakota,pierre,"1,342,446","Native grasses are mainly western wheatgrass, green needlegrass, sideoats grama, blue grama, buffalograss, and forbs","Fine, smectitic, mesic Torrertic Haplustepts",60,IS_3,13.8,100,5.52,national soils,B082
