"","Solenns_id","unique_ID","Ca_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Mn_ppm","Al_ppm","soil_weight_g","toc_dilution","npoc_ppm","rep","pedon_ID","horizon","mean_DOC_wet","mean_DN_wet","mean_MBC_wet","mean_MBN_wet"
"87",130,45,13.4,0.8696,0.7733,0.3015,3.979,3.244,10.09,0.4993,4,26.9,1,47,"a",0.0394666865849203,0.00810968199793466,0.227582319348844,0.0502465446175019
"88",132,113,2.808,0.5041,0.5851,0.0702,3.017,1.212,8.706,0.5049,2,18.5,1,47,"c",0.0225423287215507,0.00134580951623241,0.0511981824760163,0.00567013135607617
"89",133,46,0.3643,1.921,0.8559,0.3265,12.9,0.1089,11.3,0.4946,4,35.4,1,48,"a",0.0788777194408533,0.00367608862472157,0.346924884349533,0.0409019259438507
"90",135,114,0.5497,1.641,0.5683,0.3451,7.054,0.1089,10.51,0.5191,2,26,1,48,"c",0.0344184040091453,0.00464539367465154,0.0614286637053158,0.00965689906075562
"91",136,47,0.9692,0.3582,1.146,0.2866,6.395,0.0518,7.036,0.5032,2,52,1,49,"a",0.161251966834143,0.00635721011170221,0.7816094808906,0.0832941657382765
"92",138,115,0.2048,0.047,0.5957,0.225,4.293,0.0525,7.342,0.5188,2,32.8,1,49,"c",0.0658014547077489,0.00193592221272745,0.152257330883332,0.0135759911272762
"93",139,48,14.04,0.8669,1.503,0.2625,13.51,7.061,8.039,0.5184,2,42.3,1,50,"a",0.039881760612041,0.00507697176201896,0.20700489618176,0.0374351845064834
"94",141,116,8.655,0.8858,1.106,0.3001,9.718,0.3688,12.08,0.5034,2,13.7,1,50,"c",0.0379426503186827,0.0040756881089814,0.0654391847047852,0.0062922373600459
"95",142,49,9.315,1.954,1.262,0.3022,24.67,4.419,15.29,0.5129,4,32.9,1,51,"a",0.0186367032767188,0.00538200609307358,0.323096495432054,0.0652694584586872
"96",144,117,5.882,2.166,0.7369,0.265,13.26,2.221,9.279,0.4973,2,15.4,1,51,"c",0.0110141313367991,0.00119742595384163,0.0547654341294506,0.00701758708787415
"97",145,50,6.248,1.901,0.8871,0.305,15.44,2.767,9.428,0.5019,2,41.8,1,52,"a",0.013732294820731,0.00152894489040237,NA,NA
"98",147,118,2.583,1.191,0.7489,0.3341,21.92,0.3099,10.74,0.496,4,35.2,1,52,"c",0.0215445395617644,0.00205839609541595,0.0388166543244846,0.00406639641307627
"99",148,51,1.542,1.523,0.6198,0.3716,26.89,0.0784,31.46,0.5013,12,41,1,53,"a",0.0749281918715937,0.00504203865450114,0.255991254786801,0.0281263647848997
"100",150,119,5.039,1.068,0.4691,0.2862,10.3,0.1156,17.72,0.4963,4,56.1,1,53,"c",0.0219428674029962,0.000413707000412252,0.0319374223124256,NA
"101",151,52,4.421,1.308,1.133,0.3575,17.27,0.4452,13.28,0.499,10,16.2,1,54,"a",NA,0.00158996401709901,NA,NA
"102",153,120,2.103,2.099,0.7727,0.369,13.2,1.19,9.742,0.5082,2,21.4,1,54,"c",0.0286459701705656,0.000600330793232455,NA,NA
"103",154,53,3.294,0.702,0.7273,0.2924,28.18,0.3793,15.39,0.5106,4,52.5,1,55,"a",0.0515293138884004,0.00214147986253059,NA,NA
"104",156,121,3.651,1.568,0.7351,0.2537,11.44,1.708,11.19,0.5042,2,36.2,1,55,"c",0.0542683598731694,NA,NA,NA
"105",157,54,1.897,0.966,1.454,0.8646,15.42,1.494,7.669,0.5012,5,27.4,1,56,"a",0.123937866752723,0.0393145020465155,0.522574037164629,0.100009913991051
"106",158,122,1.046,0.7088,1.059,0.277,17.1,4.668,10.43,0.5114,5,15.6,1,56,"c",0.0395725151155379,0.00685638571369956,0.135626973895314,0.0229677170598415
"107",159,55,3.461,1.507,1.272,0.5485,5.532,0.176,3.993,0.5008,2,68.5,1,57,"a",0.116822734377356,0.008440691834659,0.923869083873401,0.128563444879552
"108",161,123,0.6349,0.0823,0.4512,0.3272,21.38,0.0252,139.3,0.5014,20,62,1,57,"c",0.0494820149399709,0.00385224177605878,0.0893053549535845,0.00929810084105943
"109",163,56,8.501,2.206,1.333,0.3621,31.58,3.636,14.69,0.4935,4,36.9,1,58,"a",0.0179075917329738,0.00382188475931323,0.224064125038664,0.0468621434695462
