unique_ID,pedon_ID,horizon,rep,soil_weight_g,sand_pom_pan_weight_g,sand_and_POM_and_pan_weight_g,pan_SC1_weight_g,pan_SC2_weight_g,pan_and_SC1_weight_g,pan_and_SC2_weight_g,total_sc_pan_g,total_sc_and_pan_g,coarse_fraction_g,fine_fraction_g,recovery_percent,relative_coarse_fraction,relative_fine_fraction,fine_coarse_ratio
47,49,a,1,6.861,6.779,11.175,11.708,NA,14.349,NA,11.708,14.349,4.396000000000001,2.641,102.56522372831951,0.640722926687072,0.384929310596123,0.6007734303912646
48,50,a,1,10.031,11.733,13.648,11.705,NA,19.745,NA,11.705,19.745,1.9149999999999991,8.040000000000001,99.24234871897119,0.1909081846276542,0.8015153025620577,4.198433420365538
49,51,a,1,10.005,11.713,14.008,11.842,NA,19.065,NA,11.842,19.065,2.295,7.223000000000001,95.13243378310845,0.2293853073463268,0.7219390304847576,3.147276688453159
50,52,a,1,10.003,11.853,17.608,11.915,NA,16.22,NA,11.915,16.22,5.755000000000001,4.305,100.56982905128461,0.5753274017794663,0.43037088873338,0.7480451781059946
51,53,a,1,7.933,6.9,11.859,13.713,NA,16.804,NA,13.713,16.804,4.959,3.0909999999999993,101.47485188453295,0.6251102987520484,0.38963822009328114,0.6233111514418228
52,54,a,1,9.101,7.037,9.032,13.958,NA,21.215,NA,13.958,21.215,1.995,7.257,101.65915833424897,0.21920668058455114,0.7973849027579386,3.6375939849624057
53,55,a,1,8.772,6.991,10.357,13.682,NA,19.206,NA,13.682,19.206,3.3659999999999997,5.523999999999999,101.34518923848607,0.3837209302325581,0.6297309621523026,1.6411170528817585
54,56,a,1,9.281,6.961,14.378,11.819,NA,13.841,NA,11.819,13.841,7.417,2.0219999999999985,101.70240275832343,0.7991595733218403,0.21786445426139406,0.27261696103545885
55,57,a,1,5.648,6.558,10.857,11.768,NA,13.157,NA,11.768,13.157,4.2989999999999995,1.3889999999999993,100.70821529745042,0.7611543909348442,0.24592776203965996,0.32309839497557563
56,58,a,1,8.205,6.879,10.775,14.067,NA,18.561,NA,14.067,18.561,3.896000000000001,4.494,102.25472273004266,0.47483241925655095,0.5477148080438756,1.153490759753593
