unique_ID.x,pedon_ID,horizon,soil_weight_mg,delta13C_vs_VPDB,delta15N_vs_at_air_air,percent_C,percent_N,rep,unique_ID.y,mg_IC_g_soil,mg_IC_g_soil_zero,pH,percent_carbonate,SOC,TN
111,45,c,10.671,-24.48,8.37,0.21,0.05,1,111,-0.015652711,0,6.3,0,0.21,0.05
112,46,c,10.082,-25.13,6.84,0.68,0.07,1,112,-0.08298489,0,3.73,0,0.68,0.07
113,47,c,10.297,-25.44,7.84,0.68,0.06,1,113,0.02574336,0.02574336,4.61,0.02145231416973199,0.677425664,0.06
114,48,c,41.479,-25.77,8.26,0.51,0.04,1,114,-0.387217971,0,4.33,0,0.51,0.04
115,49,c,10.566,-26.75,7.34,1.1,0.07,1,115,-0.022519433,0,3.94,0,1.1,0.07
116,50,c,10.019,-25.33,8.68,0.57,0.08,1,116,-0.216151236,0,3.94,0,0.57,0.08
117,51,c,10.385,-25.72,5.08,0.57,0.11,1,117,-0.025838155,0,5.12,0,0.57,0.11
118,52,c,10.487,-26.56,6.33,1.54,0.1,1,118,-0.112627104,0,4.19,0,1.54,0.1
119,53,c,40.005,-25.41,6.82,0.93,0.04,1,119,-0.105525883,0,4.44,0,0.93,0.04
120,54,c,40.881,-24.61,4.8,0.25,0.04,1,120,-0.062267753,0,4.14,0,0.25,0.04
121,55,c,10.638,-24.91,6.28,0.59,0.08,1,121,-0.167016303,0,4.57,0,0.59,0.08
122,56,c,10.585,-26.92,3.57,2.07,0.15,1,122,-0.137948876,0,3.65,0,2.07,0.15
123,57,c,10.087,-25.56,6.78,7.1,0.26,1,123,-0.078341583,0,4.32,0,7.1,0.26
124,58,c,40.101,-24.99,4.34,0.13,0.02,1,124,-0.033874256,0,4.42,0,0.13,0.02
125,59,c,10.07,-23.41,5.24,0.19,0.06,1,125,-0.244344734,0,4,0,0.19,0.06
126,60,c,10.308,-25.45,3.89,0.63,0.07,1,126,-0.181813348,0,5.92,0,0.63,0.07
127,61,c,40.879,-25.6,4.38,0.11,0.01,1,127,-0.193938534,0,5.73,0,0.11,0.01
128,62,c,10.626,-24.91,6.97,1.3,0.07,1,128,-0.060724714,0,4.39,0,1.3,0.07
129,63,c,10.986,-25.07,7.66,2.05,0.11,1,129,-0.166434147,0,4.41,0,2.05,0.11
130,64,c,10.17,-24.53,4.51,1.1,0.09,1,130,-0.388604224,0,5.03,0,1.1,0.09
131,67,c,10.248,-23.78,6.36,1.85,0.15,1,131,-0.12133737,0,4.8,0,1.85,0.15
132,68,c,10.154,-26.81,4.01,8.29,0.39,1,132,-0.123415274,0,3.98,0,8.29,0.39
133,69,c,10.597,-26.79,4.72,3.82,0.21,1,133,-0.242041206,0,3.85,0,3.82,0.21
134,71,c,10.648,-25.48,3.82,2.33,0.18,1,134,0.257333244,0.257333244,6.2,0.21443951359124447,2.3042666756,0.18
136,7,e,5.26,-26.1,-0.82,0.58,0.06,1,NA,0,0,NA,NA,0.58,0.06
