Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep,pedon_ID,horizon,HH_DOC_ppm,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al
126,111,9.245,4.362,0.7964,1.965,9.569,2.496,7.213,0.5093,2,5.4,1,45,c,10.8,0.21205576281170238,1.878853328097389,1.4162576084822305,3.2951109365796194
127,44,3.188,0.4911,0.903,0.2814,2.21,0.7521,6.872,0.5099,2,44.6,1,46,a,89.2,1.7493626201215924,0.43341831731712105,1.3477152382820161,1.7811335555991372
129,112,0.4248,0.5386,0.7652,0.4167,2.439,0.0981,8.781,0.4995,2,21,1,46,c,42,0.8408408408408408,0.4882882882882883,1.7579579579579578,2.2462462462462462
130,45,13.4,0.8696,0.7733,0.3015,3.979,3.244,10.09,0.4993,4,26.9,1,47,a,107.6,2.155017023833367,0.7969156819547365,2.0208291608251554,2.817744842779892
132,113,2.808,0.5041,0.5851,0.0702,3.017,1.212,8.706,0.5049,2,18.5,1,47,c,37,0.7328183798772033,0.5975440681323033,1.724301841948901,2.3218459100812043
133,46,0.3643,1.921,0.8559,0.3265,12.9,0.1089,11.3,0.4946,4,35.4,1,48,a,141.6,2.862919530934088,2.608168216740801,2.2846744844318643,4.892842701172665
135,114,0.5497,1.641,0.5683,0.3451,7.054,0.1089,10.51,0.5191,2,26,1,48,c,52,1.0017337699865152,1.3588903872086304,2.0246580620304373,3.3835484492390675
136,47,0.9692,0.3582,1.146,0.2866,6.395,0.0518,7.036,0.5032,2,52,1,49,a,104,2.0667726550079495,1.2708664546899842,1.3982511923688394,2.6691176470588234
138,115,0.2048,0.047,0.5957,0.225,4.293,0.0525,7.342,0.5188,2,32.8,1,49,c,65.6,1.264456437933693,0.8274865073245952,1.415188897455667,2.242675404780262
139,48,14.04,0.8669,1.503,0.2625,13.51,7.061,8.039,0.5184,2,42.3,1,50,a,84.6,1.6319444444444444,2.6060956790123457,1.5507330246913582,4.156828703703704
141,116,8.655,0.8858,1.106,0.3001,9.718,0.3688,12.08,0.5034,2,13.7,1,50,c,27.4,0.5442987683750496,1.9304727850615817,2.3996821613031387,4.33015494636472
142,49,9.315,1.954,1.262,0.3022,24.67,4.419,15.29,0.5129,4,32.9,1,51,a,131.6,2.5658023006434,4.809904464807954,2.981087931370637,7.790992396178591
144,117,5.882,2.166,0.7369,0.265,13.26,2.221,9.279,0.4973,2,15.4,1,51,c,30.8,0.619344460084456,2.6663985521817817,1.8658757289362555,4.532274281118037
145,50,6.248,1.901,0.8871,0.305,15.44,2.767,9.428,0.5019,2,41.8,1,52,a,83.6,1.6656704522813308,3.0763100219167163,1.8784618449890418,4.954771866905758
147,118,2.583,1.191,0.7489,0.3341,21.92,0.3099,10.74,0.496,4,35.2,1,52,c,140.8,2.838709677419355,4.419354838709678,2.1653225806451615,6.58467741935484
148,51,1.542,1.523,0.6198,0.3716,26.89,0.0784,31.46,0.5013,12,41,1,53,a,492,9.81448234590066,5.364053461001396,6.275683223618593,11.63973668461999
150,119,5.039,1.068,0.4691,0.2862,10.3,0.1156,17.72,0.4963,4,56.1,1,53,c,224.4,4.521458795083619,2.075357646584727,3.5704211162603263,5.645778762845053
151,52,4.421,1.308,1.133,0.3575,17.27,0.4452,13.28,0.499,10,16.2,1,54,a,162,3.246492985971944,3.4609218436873745,2.6613226452905807,6.122244488977955
153,120,2.103,2.099,0.7727,0.369,13.2,1.19,9.742,0.5082,2,21.4,1,54,c,42.8,0.8421881149153877,2.5974025974025974,1.9169618260527355,4.514364423455333
154,53,3.294,0.702,0.7273,0.2924,28.18,0.3793,15.39,0.5106,4,52.5,1,55,a,210,4.112808460634548,5.518997258127692,3.0141010575793183,8.533098315707011
156,121,3.651,1.568,0.7351,0.2537,11.44,1.708,11.19,0.5042,2,36.2,1,55,c,72.4,1.4359381197937329,2.2689408964696547,2.219357397857993,4.488298294327647
157,54,1.897,0.966,1.454,0.8646,15.42,1.494,7.669,0.5012,5,27.4,1,56,a,137,2.7334397446129293,3.0766161213088585,1.5301276935355148,4.606743814844373
158,122,1.046,0.7088,1.059,0.277,17.1,4.668,10.43,0.5114,5,15.6,1,56,c,78,1.5252248728979274,3.343762221353148,2.039499413375049,5.383261634728197
159,55,3.461,1.507,1.272,0.5485,5.532,0.176,3.993,0.5008,2,68.5,1,57,a,137,2.7356230031948883,1.104632587859425,0.7973242811501596,1.9019568690095845
161,123,0.6349,0.0823,0.4512,0.3272,21.38,0.0252,139.3,0.5014,20,62,1,57,c,1240,24.730753889110492,4.264060630235341,27.782209812524933,32.046270442760274
163,56,8.501,2.206,1.333,0.3621,31.58,3.636,14.69,0.4935,4,36.9,1,58,a,147.6,2.9908814589665655,6.399189463019249,2.976697061803445,9.375886524822695
165,124,6.197,2.183,0.9315,0.3254,9.857,0.8148,6.039,0.5149,5,4.1,1,58,c,20.5,0.3981355603029715,1.9143523014177508,1.1728490969120218,3.0872013983297726
166,57,7.47,1.678,0.9543,0.5638,29.86,2.822,10.75,0.4948,4,32.3,1,59,a,129.2,2.6111560226354076,6.034761519805983,2.172594987873888,8.20735650767987
169,125,1.284,1.752,0.5023,0.8617,27.83,2.309,10.81,0.5096,2,15.7,1,59,c,31.4,0.6161695447409733,5.461145996860281,2.1212715855573,7.58241758241758
170,58,24.37,1.36,0.7283,0.3337,13.69,0.9583,15.11,0.5034,12,16.6,1,60,a,199.20000000000002,3.9570917759237196,2.719507350019865,3.001589193484307,5.7210965435041725
171,126,9.654,2.08,0.6498,0.3422,11.09,0.6992,6.8,0.5037,2,13.9,1,60,c,27.8,0.5519158229104626,2.2017073654953343,1.3500099265435774,3.5517172920389117
172,59,15.51,4.477,1.243,1.271,14.19,0.1544,10.87,0.4923,4,24.1,1,61,a,96.4,1.9581555961811905,2.882388787324802,2.208003250050782,5.090392037375584
174,127,14.19,5.191,1.706,1.243,24.68,0.469,10.78,0.5014,2,13.5,1,61,c,27,0.5384922217790188,4.922217790187475,2.149980055843638,7.072197846031113
175,60,1.082,0.3036,0.6816,0.2871,18.82,0.3346,12.32,0.4994,12,20.7,1,62,a,248.39999999999998,4.9739687625150175,3.768522226672006,2.4669603524229076,6.2354825790949135
177,128,1.335,0.6398,0.5547,0.2622,9.371,0.0943,21.76,0.5071,12,23.4,1,62,c,280.79999999999995,5.537369355156772,1.847958982449221,4.29106685071978,6.139025833169001
178,61,0.7736,0.4943,0.5985,0.2738,31.73,0.4913,19.46,0.5094,12,31.6,1,63,a,379.20000000000005,7.44405182567727,6.228896741264233,3.820180604632902,10.049077345897135
180,129,1.327,0.8077,0.6264,0.3018,19.97,0.3013,40.62,0.5079,10,38.8,1,63,c,388,7.639299074620988,3.9318763536129158,7.997637330183107,11.929513683796023
181,62,35.65,2.568,2.048,0.7174,15.01,5.962,18.73,0.5001,10,52.5,1,64,a,525,10.497900419916016,3.0013997200559888,3.7452509498100386,6.746650669866027
183,130,6.414,0.9137,1.622,0.4018,22.29,2.67,56.92,0.5012,5,29.2,1,64,c,146,2.9130087789305668,4.447326416600159,11.356743814844375,15.804070231444534
184,63,15.56,3.234,3.612,0.4438,35.08,7.198,28.53,0.4934,4,25.3,1,65,a,101.2,2.051074179164978,7.1098500202675305,5.782326712606405,12.892176732873935
186,64,14.89,2.891,1.624,0.3748,12.58,1.036,9.086,0.5295,2,16.7,1,66,a,33.4,0.6307837582625119,2.375826251180359,1.7159584513692163,4.0917847025495755
188,65,32.67,4.238,5.694,0.4524,30.51,7.225,22.4,0.4983,5,23.9,1,67,a,119.5,2.398153722657034,6.1228175797712225,4.495283965482641,10.618101545253865
